Category,AttributeID,AttributeName,Description,Example,Comments,Necessity,fish & shark,turtle,mammal,bird,Proposed by,Other notes,CF 1.6 globals Mapping,ACCD 1.3 Mapping,class
recovery,708,person_tagger_recapture,Person responsible for tag-and-release,,Very unlikely to re-tag turtle or mammal,optional,1,0,-1,1,Tim Lam,,,,character
recovery,709,retagged_recapture,"List tag IDs for conventional, acoustic, PIT, band or satellite tags for multi-tagged situation, photoID, photo/video footage file names",,,optional,1,1,1,1,Tim Lam,Comma separated,,,character
recovery,710,school_recapture,Type of school in which the animal was caught,"Free school, log, anchored FAD, drifting FAD",Include FAD number if possible,optional,1,-1,-1,-1,Tim Lam,,,,character
recovery,711,seastate_recapture,World Meteorological Organization sea state code (0-9),,Similar to Douglas Sea Scale ,optional,1,1,1,1,Tim Lam,,,,character
recovery,712,set_float_recapture,"If caught on longline, include set number and float number",,,optional,1,0,-1,-1,Tim Lam,,,,character
recovery,713,station_recapture,Name or standard identifer of station,,,optional,1,1,1,1,Tim Lam,,,,character
recovery,714,temp_degC_recapture,Air or sea surface temperature (Celcius) when the animal was caught,,,optional,1,1,1,1,Tim Lam,,,,numeric
recovery,715,vessel_recapture,Name or standard identifer of vessel,,,optional,1,1,1,1,Tim Lam,,,,character
recovery,716,wind_knots_recapture,Wind speed (knots) when the animal was caught,,,optional,1,1,1,1,Tim Lam,,,,
waypoints,1000,waypoints_source,State the source for waypoints,"Argos, GPS, acoustic detections, manufacturer, modeled","Waypoints are ""points"" along the trajectory of the tagged animal between the start and end dates.",required,1,1,1,1,Vardis Tsontos,,,,character
waypoints,1001,geolocation_parameters,"List of Geocorrection Parameters and associated values implemented. Comma seperated list in format 'parameter1:value', 'parameter2:value',..","eg. 'diffusion_coefficien:0.3', 'satellite_sst': https://podaac.jpl.nasa.gov/dataset/NCDC-L4LRblend-GLOB-AVHRR_OI', ...",Assuming only 1 set of waypoints per tag data file.,recommended,1,1,1,1,Vardis Tsontos,,,,character
waypoints,1002,interpolation_method,"None if no interpolation. Otherwise, specify method/ software used.","None, crawl, Bézier curves, Hermite splines and cubic splines",,recommended,1,1,1,1,Vardis Tsontos,,,,character
waypoints,1003,interpolation_time,Specify the time interval for interpolation,"0, 1 hour, gap filling",Use 0 for no interpolation or gap filling for data points without any coordinates.,recommended,1,1,1,1,Vardis Tsontos,,,,character
waypoints,1004,waypoints_method,"If ""waypoints_source"" = ""modeled"", specify the method used to estimate the positions. Include citation/ reference/ url if available","kftrack, ukfsst, trackit, tripEstimation, SSM, GPE3, Track & Loc, GeoLight, BASTrack, IKNOS",,recommended,1,1,1,1,Vardis Tsontos,,,,character
waypoints,1005,waypoints_software,Software packages used with version number,,,recommended,1,1,1,1,Vardis Tsontos,,"source, history (?)",,character
waypoints,1006,geolocation_output,URL/URI to any relevant geocorrection output file(s) produced,eg. ftp://myserver/myfiles.zip,,optional,1,1,1,1,Vardis Tsontos,,,,character
ancillary_positions,1100,ancillary_position_source,List available source(s) for other known position(s),Acoustic detections,"If an animal is tagged and then released again, this can be included here as well",optional,1,1,1,1,Tim Lam,,,,character
ancillary_positions,1101,ancillary_position_instrumentid,List chronologically the instruments collecting the ancillary position(s),"receiverID1003, receiverID1008, receiverID1121",,optional,1,1,1,1,Tim Lam,Comma separated,,,character
ancillary_positions,1102,datetime_ancillary_position,List chronologically the datetime (yyyy-mm-dd hh:mm:ss) for ancillary position(s),"2016-01-04 22:32:21, 2016-02-01 02:41:11, 2016-03-29 09:15:31",http://en.wikipedia.org/wiki/ISO_8601,optional,1,1,1,1,Tim Lam,Comma separated,,,POSIXct
ancillary_positions,1103,ancillary_position_lon,List chronologically the longitude for ancillary position(s),"-153.42,-152.42,-152.49",,optional,1,1,1,1,,Comma separated,,,numeric
ancillary_positions,1104,ancillary_position_lat,List chronologically the latitude for ancillary position(s),"42.131,41.135,42.422",,optional,1,1,1,1,Tim Lam,Comma separated,,,numeric
ancillary_positions,1105,ancillary_position_quality,List chronologically the quality (location class/ accuracy/ range etc.) for ancillary position(s). Can be qualitative.,"LC0,LC1,LCA",Can be Argos location class or general descriptions,optional,1,1,1,1,Tim Lam,Comma separated,,,factor
quality,1200,found_problem,"Is there any problem found in this dataset? One of 3 responses: yes, no, unexamined.",yes,,required,1,1,1,1,Tim Lam,,,,logical
quality,1201,person_qc,Person responsible for quality control,,,required,1,1,1,1,Tim Lam,,,,character
quality,1202,problem_affecteddates,Date range (BETWEEN yyyy-mm-dd AND yyyy-mm-dd) in which data quality is in doubt,,,recommended,1,1,1,1,Tim Lam,,,,
quality,1203,problem_details,Provide details for the problem(s),Daily drift after sunset by 1.5 degC,,recommended,1,1,1,1,Tim Lam,,,,character
quality,1204,problem_numof,Number of problems found,1,"Hard to cover all problems here, e.g., date of post-release mortality/ predation, broken light stalk, broken hardware, tag failure modes",recommended,1,1,1,1,,,,,character
quality,1205,problem_summary,List short description(s) for the problem(s),Temperature sensor drift,,recommended,1,1,1,1,,,,,character
quality,1206,calibration_file, Files/ URLs used for calibration of sensors,,,optional,1,1,1,1,Tim Lam,,,,character
